"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Sat Dec 02 17:40:23 ICT 2023","Sat Dec 02 17:40:38 ICT 2023","14631","","Laravel Project Testing - Registration","","","","should not register with duplicate Nomor HP",""
"passed","Sat Dec 02 16:46:56 ICT 2023","Sat Dec 02 16:47:06 ICT 2023","10327","","Laravel Project Testing","","","","should login with valid email and valid password",""
"passed","Sat Dec 02 17:35:40 ICT 2023","Sat Dec 02 17:35:49 ICT 2023","9240","","Laravel Project Testing - Registration","","","","should not register with Password without numbers",""
"passed","Sun Dec 03 20:58:38 ICT 2023","Sun Dec 03 20:58:46 ICT 2023","7382","","Laravel Project Testing - Registration","","","","should not register with Password less than 6 characters",""
"passed","Sat Dec 02 16:46:04 ICT 2023","Sat Dec 02 16:46:12 ICT 2023","8187","","Laravel Project Testing","","","","should not login with empty email and empty password",""
"passed","Sun Dec 03 20:58:46 ICT 2023","Sun Dec 03 20:58:53 ICT 2023","7079","","Laravel Project Testing - Registration","","","","should not register with invalid Email format",""
"passed","Sun Dec 03 20:57:48 ICT 2023","Sun Dec 03 20:58:09 ICT 2023","21117","","Laravel Project Testing - Registration","","","","should not register with empty Nama Lengkap",""
"passed","Sun Dec 03 20:59:07 ICT 2023","Sun Dec 03 20:59:15 ICT 2023","7134","","Laravel Project Testing - Registration","","","","should not register with invalid Nomor HP format",""
"passed","Sun Dec 03 20:59:43 ICT 2023","Sun Dec 03 20:59:50 ICT 2023","7470","","Laravel Project Testing - Registration","","","","should register with valid information",""
"passed","Sat Dec 02 16:46:12 ICT 2023","Sat Dec 02 16:46:21 ICT 2023","9427","","Laravel Project Testing","","","","should not login with valid email and invalid password",""
"passed","Sat Dec 02 16:46:48 ICT 2023","Sat Dec 02 16:46:56 ICT 2023","7812","","Laravel Project Testing","","","","should not login with valid email and empty password",""
"passed","Sun Dec 03 20:58:09 ICT 2023","Sun Dec 03 20:58:17 ICT 2023","7262","","Laravel Project Testing - Registration","","","","should not register with empty Username",""
"unknown","Sat Dec 02 17:42:04 ICT 2023","Sat Dec 02 17:42:21 ICT 2023","16621","","Laravel Project Testing - Registration","","","","should not register with special characters in Nama Lengkap",""
"passed","Sun Dec 03 20:59:15 ICT 2023","Sun Dec 03 20:59:22 ICT 2023","7044","","Laravel Project Testing - Registration","","","","should not register with special characters in Username",""
"passed","Sun Dec 03 20:58:24 ICT 2023","Sun Dec 03 20:58:31 ICT 2023","7315","","Laravel Project Testing - Registration","","","","should not register with empty Email",""
"unknown","Sat Dec 02 17:37:49 ICT 2023","Sat Dec 02 17:38:04 ICT 2023","15370","","Laravel Project Testing - Registration","","","","should not register with Password containing spaces",""
"passed","Sat Dec 02 16:46:40 ICT 2023","Sat Dec 02 16:46:48 ICT 2023","7794","","Laravel Project Testing","","","","should not login with empty email and valid password",""
"passed","Sun Dec 03 20:59:00 ICT 2023","Sun Dec 03 20:59:07 ICT 2023","7296","","Laravel Project Testing - Registration","","","","should not register with Username exceeding character limit",""
"passed","Sun Dec 03 20:59:22 ICT 2023","Sun Dec 03 20:59:29 ICT 2023","7346","","Laravel Project Testing - Registration","","","","should not register with invalid characters in Email",""
"passed","Sun Dec 03 20:58:17 ICT 2023","Sun Dec 03 20:58:24 ICT 2023","6906","","Laravel Project Testing - Registration","","","","should not register with empty Nomor HP",""
"passed","Sat Dec 02 16:46:21 ICT 2023","Sat Dec 02 16:46:31 ICT 2023","9455","","Laravel Project Testing","","","","should not login with invalid email and valid password",""
"passed","Sat Dec 02 16:46:31 ICT 2023","Sat Dec 02 16:46:40 ICT 2023","9324","","Laravel Project Testing","","","","should not login with invalid email and invalid password",""
"passed","Sun Dec 03 20:58:53 ICT 2023","Sun Dec 03 20:59:00 ICT 2023","7451","","Laravel Project Testing - Registration","","","","should not register with Nama Lengkap exceeding character limit",""
"passed","Sun Dec 03 20:58:31 ICT 2023","Sun Dec 03 20:58:38 ICT 2023","7197","","Laravel Project Testing - Registration","","","","should not register with empty Password",""
"passed","Sun Dec 03 20:59:36 ICT 2023","Sun Dec 03 20:59:43 ICT 2023","7154","","Laravel Project Testing - Registration","","","","should not register with non-integer Nomor HP",""
"passed","Sun Dec 03 20:59:29 ICT 2023","Sun Dec 03 20:59:36 ICT 2023","6912","","Laravel Project Testing - Registration","","","","should not register with invalid characters in Nomor HP",""
